,Quarter,Tm,Detail,ATL,DEN
0,1.0,Broncos,Fran Lynch 1 yard rush (Bobby Howfield kick),0,7
1,1.0,Falcons,Mike Donohoe 14 yard pass from Bob Berry (Ken Vinyard kick),7,7
2,2.0,Falcons,Ken Vinyard 31 yard field goal,10,7
3,2.0,Broncos,Clem Turner 2 yard rush (Bobby Howfield kick),10,14
4,4.0,Broncos,Bobby Howfield 51 yard field goal,10,17
5,4.0,Broncos,Jim Whalen 8 yard pass from Pete Liske (Bobby Howfield kick),10,24
