,Quarter,Tm,Detail,KAN,BUF
0,1.0,Bills,Robb Riddick 41 yard rush (Scott Norwood kick),0,7
1,1.0,Chiefs,Nick Lowery 24 yard field goal,3,7
2,2.0,Chiefs,Stephone Paige 26 yard pass from Todd Blackledge (Nick Lowery kick),10,7
3,3.0,Bills,Ronnie Harmon 14 yard pass from Jim Kelly (Scott Norwood kick),10,14
4,4.0,Bills,Scott Norwood 32 yard field goal,10,17
5,4.0,Chiefs,Paul Coffman 1 yard pass from Todd Blackledge (Nick Lowery kick),17,17
6,4.0,Chiefs,Nick Lowery 46 yard field goal,20,17
