,Quarter,Time,Tm,Detail,CAR,TAM
0,1.0,13:25,Panthers,Joey Slye 49 yard field goal,3,0
1,1.0,1:11,Panthers,Christian McCaffrey 1 yard rush (Joey Slye kick),10,0
2,2.0,12:47,Buccaneers,Ronald Jones II 5 yard rush (Matt Gay kick),10,7
3,2.0,7:41,Panthers,Christian McCaffrey 25 yard pass from Kyle Allen (Joey Slye kick),17,7
4,3.0,8:25,Panthers,Joey Slye 46 yard field goal,20,7
5,3.0,8:10,Panthers,Curtis Samuel 8 yard rush (Joey Slye kick),27,7
6,3.0,5:32,Buccaneers,Matt Gay 54 yard field goal,27,10
7,4.0,15:00,Panthers,Curtis Samuel 13 yard pass from Kyle Allen (Joey Slye kick),34,10
8,4.0,12:56,Buccaneers,Cameron Brate 10 yard pass from Jameis Winston (Mike Evans pass from Jameis Winston),34,18
9,4.0,7:59,Panthers,Joey Slye 29 yard field goal,37,18
10,4.0,4:52,Buccaneers,Dare Ogunbowale 3 yard rush (Jameis Winston run),37,26
