,Quarter,Time,Tm,Detail,BAL,NYG
0,1.0,,Ravens,Derrick Alexander 22 yard pass from Vinny Testaverde (Matt Stover kick),7,0
1,2.0,,Giants,Tiki Barber 1 yard rush,7,6
2,2.0,,Ravens,Jay Graham 1 yard rush (Matt Stover kick),14,6
3,2.0,,Giants,Charles Way 1 yard pass from Dave Brown (pass failed),14,12
4,3.0,,Giants,Tyrone Wheatley 1 yard rush (Tiki Barber pass from Dave Brown),14,20
5,4.0,,Giants,Brad Daluiso 27 yard field goal,14,23
6,4.0,,Ravens,Michael Jackson 11 yard pass from Vinny Testaverde (Matt Stover kick),21,23
7,4.0,,Ravens,Matt Stover 37 yard field goal,24,23
