,Quarter,Tm,Detail,PIT,BKN
0,1.0,Dodgers,Jack Grossman 5 yard rush (Ralph Kercheval kick),0,7
1,1.0,Pirates,Jim Levey 34 yard pass from Johnny Gildea,6,7
2,3.0,Pirates,Armand Niccolai 25 yard field goal,9,7
3,4.0,Pirates,Jim Levey unknown yard rush (Armand Niccolai kick),16,7
