,Quarter,Tm,Detail,HOU,SEA
0,2,Oilers,Teddy Garcia 29 yard field goal,3,0
1,2,Seahawks,Chris Warren 1 yard rush (Norm Johnson kick),3,7
2,3,Seahawks,Norm Johnson 39 yard field goal,3,10
3,4,Oilers,Ernest Givins 2 yard pass from Warren Moon (Teddy Garcia kick),10,10
4,OT,Seahawks,Norm Johnson 42 yard field goal,10,13
