,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Bills,Thurman Thomas 2 yard rush (Steve Christie kick),0,7
1,1.0,Jets,Johnny Johnson 24 yard pass from Boomer Esiason (Cary Blanchard kick),7,7
2,2.0,Bills,Steve Christie 38 yard field goal,7,10
3,2.0,Bills,Steve Christie 36 yard field goal,7,13
4,3.0,Jets,Chris Burkett 6 yard pass from Boomer Esiason (Cary Blanchard kick),14,13
5,4.0,Bills,Steve Christie 40 yard field goal,14,16
