,Quarter,Tm,Detail,CHI,GNB
0,1.0,Packers,Carroll Dale 77 yard pass from Scott Hunter (Tim Webster kick),0,7
1,1.0,Bears,George Farmer 31 yard pass from Kent Nix (Mac Percival kick),7,7
2,3.0,Packers,John Brockington 6 yard rush (Tim Webster kick),7,14
3,3.0,Packers,Scott Hunter 1 yard rush (Tim Webster kick),7,21
4,3.0,Bears,Mac Percival 12 yard field goal,10,21
5,4.0,Packers,Bart Starr 1 yard rush (Tim Webster kick),10,28
6,4.0,Packers,Tim Webster 27 yard field goal,10,31
