,Quarter,Tm,Detail,CRD,NYG
0,1.0,Cardinals,Pat Harder 35 yard field goal,3,0
1,1.0,Giants,Paul Governali 2 yard rush (Ken Strong kick),3,7
2,2.0,Cardinals,Vince Banonis 83 yard fumble return (Pat Harder kick),10,7
3,2.0,Giants,George Cheverko 29 yard pass from Paul Governali (Ken Strong kick),10,14
4,3.0,Cardinals,Pat Harder 45 yard rush (Pat Harder kick),17,14
5,3.0,Giants,Paul Governali 1 yard rush (Ken Strong kick),17,21
6,3.0,Cardinals,Mal Kutner 70 yard pass from Paul Christman (Pat Harder kick),24,21
7,3.0,Giants,Gene Roberts 8 yard rush (Ken Strong kick),24,28
8,4.0,Cardinals,Billy Dewell 46 yard pass from Paul Christman (Pat Harder kick),31,28
9,4.0,Giants,Frank Liebel 26 yard pass from Paul Governali (Ken Strong kick),31,35
