,Quarter,Tm,Detail,KAN,PIT
0,2.0,Chiefs,Jim Kearney 65 yard interception return (Jan Stenerud kick),7,0
1,3.0,Steelers,Roy Gerela 25 yard field goal,7,3
2,4.0,Steelers,Roy Gerela 10 yard field goal,7,6
3,4.0,Steelers,Roy Gerela 49 yard field goal,7,9
4,4.0,Steelers,Franco Harris 7 yard rush (Roy Gerela kick),7,16
