,Quarter,Tm,Detail,KAN,GNB
0,2.0,Chiefs,Jonathan Hayes 11 yard pass from Steve DeBerg (Nick Lowery kick),7,0
1,2.0,Packers,Chris Jacke 25 yard field goal,7,3
2,2.0,Chiefs,Christian Okoye 3 yard rush (Nick Lowery kick),14,3
3,2.0,Chiefs,Emile Harry 12 yard pass from Steve DeBerg (Nick Lowery kick),21,3
