,Quarter,Time,Tm,Detail,SFO,BUF
0,1,6:51,49ers,Isaac Bruce 12 yard pass from Shaun Hill (Joe Nedney kick),7,0
1,2,0:11,49ers,Joe Nedney 50 yard field goal,10,0
2,3,8:54,Bills,Rian Lindell 22 yard field goal,10,3
