,Quarter,Tm,Detail,CHI,SFO
0,1.0,49ers,Billy Wilson 32 yard pass from Y.A. Tittle (Gordie Soltau kick),0,7
1,1.0,Bears,Harlon Hill 47 yard pass from George Blanda (George Blanda kick),7,7
2,2.0,49ers,John Henry Johnson 38 yard rush (Gordie Soltau kick),7,14
3,2.0,49ers,Hugh McElhenny 16 yard rush (Gordie Soltau kick),7,21
4,3.0,Bears,Harlon Hill 20 yard pass from George Blanda (George Blanda kick),14,21
5,4.0,Bears,George Blanda 15 yard field goal,17,21
6,4.0,49ers,Gordie Soltau 16 yard field goal,17,24
7,4.0,Bears,Harlon Hill 11 yard pass from George Blanda (George Blanda kick),24,24
8,4.0,49ers,Gordie Soltau 17 yard field goal,24,27
9,4.0,Bears,Harlon Hill 66 yard pass from Ed Brown (George Blanda kick),31,27
