,Quarter,Tm,Detail,NWE,NYJ
0,1.0,Jets,Wesley Walker 12 yard pass from Pat Ryan (Pat Leahy kick),0,7
1,1.0,Patriots,Lin Dawson 2 yard pass from Tony Eason (Tony Franklin kick),7,7
2,2.0,Jets,Tony Paige 1 yard rush (Pat Leahy kick),7,14
3,2.0,Patriots,Tony Eason 4 yard rush (Tony Franklin kick),14,14
4,3.0,Patriots,Bo Robinson 4 yard pass from Tony Eason (Tony Franklin kick),21,14
5,3.0,Patriots,Stanley Morgan 43 yard pass from Tony Eason (Tony Franklin kick),28,14
6,4.0,Jets,Mickey Shuler 7 yard pass from Pat Ryan (Pat Leahy kick),28,21
