,Quarter,Tm,Detail,TAM,MIN
0,1.0,Buccaneers,Neil O'Donoghue 22 yard field goal,3,0
1,2.0,Vikings,Rick Danmeier 28 yard field goal,3,3
2,2.0,Vikings,Stu Voigt 2 yard pass from Tommy Kramer (Rick Danmeier kick),3,10
3,3.0,Buccaneers,Neil O'Donoghue 44 yard field goal,6,10
4,4.0,Buccaneers,Ricky Bell 2 yard rush,12,10
