,Quarter,Tm,Detail,RAM,NOR
0,2.0,Rams,David Ray 20 yard field goal,3,0
1,2.0,Saints,Bob Newland 27 yard pass from Archie Manning (Bill McClard kick),3,7
2,2.0,Rams,Jim Bertelsen 17 yard pass from John Hadl (David Ray kick),10,7
3,2.0,Saints,Bill McClard 37 yard field goal,10,10
4,3.0,Saints,Bill McClard 24 yard field goal,10,13
5,3.0,Rams,Bob Klein 4 yard pass from John Hadl (David Ray kick),17,13
6,4.0,Rams,Tony Baker 5 yard rush (David Ray kick),24,13
