,Quarter,Time,Tm,Detail,TAM,NYJ
0,1.0,,Jets,John Hall 32 yard field goal,0,3
1,2.0,,Jets,Otis Smith 45 yard interception return (John Hall kick),0,10
2,2.0,,Jets,Otis Smith 51 yard interception return (John Hall kick),0,17
3,3.0,2:17,Jets,Leon Johnson 101 yard kickoff return (John Hall kick),0,24
4,3.0,2:17,Jets,Adrian Murrell 7 yard rush (John Hall kick),0,31
