,Quarter,Tm,Detail,DAL,GNB
0,1.0,Cowboys,Michael Irvin 5 yard pass from Steve Walsh,6,0
1,1.0,Packers,Chris Jacke 26 yard field goal,6,3
2,1.0,Packers,Herman Fontenot 7 yard pass from Don Majkowski (Chris Jacke kick),6,10
3,2.0,Cowboys,Eugene Lockhart 40 yard defensive fumble return (Roger Ruzek kick),13,10
4,2.0,Packers,Sterling Sharpe 79 yard pass from Don Majkowski (Chris Jacke kick),13,17
5,3.0,Packers,Herman Fontenot 38 yard pass from Don Majkowski (Chris Jacke kick),13,24
6,4.0,Packers,Perry Kemp 4 yard pass from Don Majkowski (Chris Jacke kick),13,31
