,Quarter,Tm,Detail,PIT,NYG
0,1.0,Giants,Ward Cuff 18 yard field goal,0,3
1,2.0,Steelers,Curt Sandig 64 yard punt return (Armand Niccolai kick),7,3
2,2.0,Steelers,Milt Simington 16 yard field goal,10,3
3,4.0,Giants,Ward Cuff 35 yard pass from Leo Cantor,10,9
4,4.0,Steelers,Bill Dudley 66 yard rush (Armand Niccolai kick),17,9
