,Quarter,Tm,Detail,GNB,PHO
0,1.0,Packers,Sterling Sharpe 54 yard pass from Don Majkowski (Chris Jacke kick),7,0
1,2.0,Packers,Chris Jacke 21 yard field goal,10,0
2,2.0,Cardinals,Ernie Jones 22 yard pass from Timm Rosenbach (Al Del Greco kick),10,7
3,3.0,Cardinals,Roy Green 27 yard pass from Timm Rosenbach (Al Del Greco kick),10,14
4,4.0,Cardinals,Ernie Jones 25 yard pass from Timm Rosenbach (Al Del Greco kick),10,21
5,4.0,Packers,Clarence Weathers 15 yard pass from Anthony Dilweg (Chris Jacke kick),17,21
6,4.0,Packers,Ed West 1 yard pass from Anthony Dilweg (Chris Jacke kick),24,21
