,Quarter,Time,Tm,Detail,SDG,NWE
0,1.0,12:14,Patriots,Ben Watson 7 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
1,1.0,3:55,Patriots,Randy Moss 23 yard pass from Tom Brady (Stephen Gostkowski kick),0,14
2,2.0,10:01,Patriots,Stephen Gostkowski 24 yard field goal,0,17
3,2.0,5:17,Patriots,Adalius Thomas 65 yard interception return (Stephen Gostkowski kick),0,24
4,3.0,6:43,Chargers,Lorenzo Neal 1 yard pass from Philip Rivers (Nate Kaeding kick),7,24
5,3.0,2:56,Patriots,Randy Moss 24 yard pass from Tom Brady (Stephen Gostkowski kick),7,31
6,4.0,14:48,Chargers,Antonio Gates 12 yard pass from Philip Rivers (Nate Kaeding kick),14,31
7,4.0,3:18,Patriots,Sammy Morris 3 yard rush (Stephen Gostkowski kick),14,38
