,Quarter,Time,Tm,Detail,NYJ,ATL
0,1.0,,Falcons,Morten Andersen 37 yard field goal,0,3
1,1.0,,Jets,Nick Lowery 37 yard field goal,3,3
2,2.0,,Falcons,Bert Emanuel 4 yard pass from Jeff George (Morten Andersen kick),3,10
3,3.0,,Falcons,Morten Andersen 37 yard field goal,3,13
