,Quarter,Tm,Detail,BUF,MIA
0,1.0,Bills,Steve Christie 21 yard field goal,3,0
1,1.0,Dolphins,Pete Stoyanovich 51 yard field goal,3,3
2,2.0,Bills,Thurman Thomas 17 yard pass from Jim Kelly (Steve Christie kick),10,3
3,2.0,Bills,Steve Christie 33 yard field goal,13,3
4,3.0,Bills,Kenneth Davis 2 yard rush (Steve Christie kick),20,3
5,3.0,Bills,Steve Christie 21 yard field goal,23,3
6,4.0,Bills,Steve Christie 31 yard field goal,26,3
7,4.0,Dolphins,Mark Duper 15 yard pass from Dan Marino (Pete Stoyanovich kick),26,10
8,4.0,Bills,Steve Christie 38 yard field goal,29,10
