,Quarter,Time,Tm,Detail,IND,PIT
0,1.0,,Colts,Marvin Harrison 18 yard pass from Jim Harbaugh (Cary Blanchard kick),7,0
1,1.0,,Colts,Cary Blanchard 37 yard field goal,10,0
2,1.0,,Steelers,Norm Johnson 23 yard field goal,10,3
3,2.0,,Steelers,Jerome Bettis 7 yard rush (Norm Johnson kick),10,10
4,2.0,,Steelers,Carnell Lake 38 yard defensive fumble return (Norm Johnson kick),10,17
5,3.0,,Colts,Cary Blanchard 27 yard field goal,13,17
6,4.0,,Steelers,Courtney Hawkins 28 yard pass from Mike Tomczak (Norm Johnson kick),13,24
7,4.0,,Colts,Cary Blanchard 35 yard field goal,16,24
8,4.0,,Colts,Brian Stablein 5 yard pass from Jim Harbaugh (pass failed),22,24
