,Quarter,Tm,Detail,IND,KAN
0,1.0,Chiefs,Stephone Paige 22 yard pass from Todd Blackledge (Nick Lowery kick),0,7
1,2.0,Chiefs,Mike Pruitt 2 yard rush (Nick Lowery kick),0,14
2,2.0,Chiefs,Nick Lowery 29 yard field goal,0,17
3,3.0,Chiefs,Nick Lowery 42 yard field goal,0,20
4,4.0,Colts,George Wonsley 14 yard rush (Raul Allegre kick),7,20
