,Quarter,Tm,Detail,CLE,ATL
0,1.0,Falcons,Stacey Bailey 20 yard pass from Steve Bartkowski (Mick Luckhurst kick),0,7
1,1.0,Browns,Bruce Davis 43 yard pass from Paul McDonald (Matt Bahr kick),7,7
2,1.0,Browns,Matt Bahr 27 yard field goal,10,7
3,2.0,Browns,Matt Bahr 46 yard field goal,13,7
4,4.0,Browns,Ozzie Newsome 16 yard pass from Paul McDonald (Matt Bahr kick),20,7
5,4.0,Browns,Matt Bahr 20 yard field goal,23,7
