,Quarter,Tm,Detail,CIN,NOR
0,2.0,Saints,Morten Andersen 43 yard field goal,0,3
1,2.0,Saints,Morten Andersen 49 yard field goal,0,6
2,2.0,Bengals,Doug Pelfrey 22 yard field goal,3,6
3,3.0,Saints,Irv Smith 9 yard pass from Steve Walsh (Morten Andersen kick),3,13
4,4.0,Bengals,Doug Pelfrey 31 yard field goal,6,13
5,4.0,Bengals,Michael Brim 23 yard interception return (Doug Pelfrey kick),13,13
6,4.0,Saints,Eric Martin 54 yard pass from Steve Walsh (Morten Andersen kick),13,20
