,Quarter,Tm,Detail,DAL,PHI
0,1.0,Cowboys,Doug Dennison 2 yard rush (Efren Herrera kick),7,0
1,1.0,Cowboys,"Safety, Kyle blocked punt out of end zone",9,0
2,2.0,Eagles,Charlie Smith 20 yard pass from Roman Gabriel (Horst Muhlmann kick),9,7
3,2.0,Cowboys,Efren Herrera 21 yard field goal,12,7
4,3.0,Cowboys,Butch Johnson 7 yard pass from Roger Staubach (Efren Herrera kick),19,7
5,4.0,Cowboys,Robert Newhouse 10 yard rush (Efren Herrera kick),26,7
