,Quarter,Tm,Detail,CLE,SEA
0,1,Seahawks,Brian Blades 8 yard pass from Dave Krieg (Norm Johnson kick),0,7
1,2,Browns,Tim Manoa 1 yard rush (Matt Bahr kick),7,7
2,3,Browns,Lawyer Tillman 17 yard pass from Bernie Kosar (Matt Bahr kick),14,7
3,4,Browns,Matt Bahr 29 yard field goal,17,7
