,Quarter,Time,Tm,Detail,MIA,BUF
0,1.0,10:12,Bills,LeSean McCoy 4 yard rush (Stephen Hauschka kick),0,7
1,1.0,3:16,Dolphins,Cody Parkey 28 yard field goal,3,7
2,2.0,9:15,Dolphins,Cody Parkey 41 yard field goal,6,7
3,2.0,6:05,Bills,LeSean McCoy 16 yard pass from Tyrod Taylor (Stephen Hauschka kick),6,14
4,2.0,0:33,Bills,Tyrod Taylor 9 yard rush (Stephen Hauschka kick),6,21
5,3.0,5:40,Bills,Stephen Hauschka 34 yard field goal,6,24
6,4.0,7:57,Dolphins,Kenyan Drake 1 yard rush (Cody Parkey kick),13,24
7,4.0,0:39,Dolphins,Cody Parkey 26 yard field goal,16,24
