,Quarter,Tm,Detail,ATL,MIN
0,2.0,Vikings,Carl Hilton 8 yard pass from Wade Wilson (Chuck Nelson kick),0,7
1,2.0,Falcons,Scott Campbell 7 yard rush (Mick Luckhurst kick),7,7
2,2.0,Vikings,Chuck Nelson 51 yard field goal,7,10
3,3.0,Vikings,Leo Lewis 78 yard punt return (Chuck Nelson kick),7,17
4,3.0,Falcons,Aubrey Matthews 23 yard pass from Scott Campbell (run failed),13,17
5,4.0,Vikings,Allen Rice 2 yard rush (Chuck Nelson kick),13,24
