,Quarter,Tm,Detail,RAM,SEA
0,1.0,Rams,Tony Zendejas 44 yard field goal,3,0
1,2.0,Rams,Tony Zendejas 46 yard field goal,6,0
2,2.0,Seahawks,Mike Tice 4 yard pass from Dave Krieg (John Kasay kick),6,7
3,2.0,Rams,Tony Zendejas 50 yard field goal,9,7
4,3.0,Seahawks,John Kasay 35 yard field goal,9,10
5,3.0,Seahawks,James Jones 1 yard rush (John Kasay kick),9,17
6,3.0,Seahawks,James Jones 6 yard rush,9,23
