,Quarter,Time,Tm,Detail,CLE,BAL
0,1.0,2:14,Ravens,Matt Stover 44 yard field goal,0,3
1,2.0,10:31,Ravens,Stoney Case 1 yard rush (Matt Stover kick),0,10
2,3.0,13:19,Browns,Phil Dawson 49 yard field goal,3,10
3,3.0,5:30,Ravens,Stoney Case 1 yard rush (Matt Stover kick),3,17
4,4.0,15:00,Browns,Kevin Johnson 12 yard pass from Tim Couch (Phil Dawson kick),10,17
