,Quarter,Time,Tm,Detail,DET,NYJ
0,1.0,,Lions,Jason Hanson 37 yard field goal,3,0
1,2.0,,Lions,Barry Sanders 5 yard pass from Dave Krieg,9,0
2,2.0,,Jets,Brad Baxter 1 yard rush (Nick Lowery kick),9,7
3,3.0,,Lions,Jason Hanson 49 yard field goal,12,7
4,4.0,,Lions,Jason Hanson 48 yard field goal,15,7
5,4.0,,Lions,Jason Hanson 23 yard field goal,18,7
