,Quarter,Tm,Detail,SFO,GNB
0,1.0,49ers,Gordie Soltau 32 yard field goal,3,0
1,2.0,Packers,Babe Parilli 1 yard rush (Fred Cone kick),3,7
2,2.0,49ers,Billy Wilson 19 yard pass from Y.A. Tittle (Gordie Soltau kick),10,7
3,3.0,49ers,Clyde Conner 12 yard pass from Y.A. Tittle (Gordie Soltau kick),17,7
4,4.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),24,7
5,4.0,Packers,Paul Hornung 9 yard rush (Fred Cone kick),24,14
