,Quarter,Time,Tm,Detail,RAM,NOR
0,1.0,,Saints,Derek Brown 3 yard rush (Morten Andersen kick),0,7
1,1.0,,Saints,Wesley Walls 30 yard pass from Jim Everett (Morten Andersen kick),0,14
2,2.0,2:04,Rams,Isaac Bruce 19 yard pass from Chris Miller (Tony Zendejas kick),7,14
3,2.0,2:04,Saints,Morten Andersen 21 yard field goal,7,17
4,2.0,2:04,Rams,Toby Wright 98 yard fumble return (Tony Zendejas kick),14,17
5,2.0,2:04,Saints,Tyrone Hughes 92 yard kickoff return (Morten Andersen kick),14,24
6,2.0,2:04,Rams,Tony Zendejas 47 yard field goal,17,24
7,2.0,9:03,Saints,Morten Andersen 40 yard field goal,17,27
8,3.0,9:03,Saints,Morten Andersen 37 yard field goal,17,30
9,3.0,9:03,Rams,Tony Zendejas 32 yard field goal,20,30
10,3.0,9:03,Saints,Tyrone Hughes 98 yard kickoff return (Morten Andersen kick),20,37
11,4.0,9:03,Rams,Johnny Bailey 7 yard rush (Tony Zendejas kick),27,37
12,4.0,9:03,Rams,Robert Bailey 103 yard punt return (Tony Zendejas kick),34,37
