,Quarter,Time,Tm,Detail,KAN,CAR
0,1.0,5:10,Panthers,DeAngelo Williams 10 yard rush (John Kasay kick),0,7
1,2.0,9:51,Panthers,DeAngelo Williams 25 yard pass from Jake Delhomme (John Kasay kick),0,14
2,2.0,0:26,Panthers,DeAngelo Williams 32 yard rush (John Kasay kick),0,21
3,3.0,10:14,Panthers,John Kasay 32 yard field goal,0,24
4,3.0,2:31,Panthers,Muhsin Muhammad 47 yard pass from Jake Delhomme (John Kasay kick),0,31
5,4.0,12:26,Panthers,John Kasay 43 yard field goal,0,34
