,Quarter,Time,Tm,Detail,KAN,OAK
0,1.0,,Raiders,Terry McDaniel 42 yard interception return (Jeff Jaeger kick),0,7
1,1.0,,Chiefs,Rich Gannon 12 yard rush,6,7
2,2.0,,Raiders,Jeff Jaeger 46 yard field goal,6,10
3,2.0,,Chiefs,Kimble Anders 23 yard rush,12,10
4,3.0,,Chiefs,Marcus Allen 1 yard rush (Lin Elliott kick),19,10
5,3.0,,Chiefs,Lin Elliott 35 yard field goal,22,10
6,4.0,,Chiefs,Brian Washington 74 yard interception return (Lin Elliott kick),29,10
7,4.0,,Raiders,James Jett 26 yard pass from Billy Joe Hobert (run failed),29,16
8,4.0,,Raiders,Tim Brown 1 yard pass from Billy Joe Hobert (Jeff Jaeger kick),29,23
