,Quarter,Tm,Detail,NYG,PHI
0,1.0,Giants,Mark Ingram 15 yard pass from Phil Simms (Matt Bahr kick),7,0
1,1.0,Eagles,Fred Barnett 49 yard pass from Randall Cunningham (Roger Ruzek kick),7,7
2,2.0,Eagles,Randall Cunningham 1 yard rush (Roger Ruzek kick),7,14
3,2.0,Giants,Mark Bavaro 4 yard pass from Phil Simms,13,14
4,3.0,Eagles,Roger Ruzek 39 yard field goal,13,17
5,4.0,Eagles,Calvin Williams 6 yard pass from Randall Cunningham (Roger Ruzek kick),13,24
6,4.0,Eagles,Byron Evans 23 yard interception return (Roger Ruzek kick),13,31
