,Quarter,Tm,Detail,NYG,CLE
0,1.0,Giants,Pete Gogolak 46 yard field goal,3,0
1,2.0,Browns,Paul Warfield 29 yard pass from Bill Nelsen (Don Cockroft kick),3,7
2,2.0,Browns,Leroy Kelly 9 yard rush (Don Cockroft kick),3,14
3,2.0,Browns,Don Cockroft 37 yard field goal,3,17
4,3.0,Browns,Leroy Kelly 8 yard rush (Don Cockroft kick),3,24
5,3.0,Browns,Leroy Kelly 7 yard rush (Don Cockroft kick),3,31
6,3.0,Browns,Leroy Kelly 5 yard rush (Don Cockroft kick),3,38
7,4.0,Giants,Ernie Koy 1 yard rush (Pete Gogolak kick),10,38
8,4.0,Browns,Tommy McDonald 12 yard pass from Frank Ryan (Don Cockroft kick),10,45
