,Quarter,Time,Tm,Detail,JAX,DAL
0,1.0,,Cowboys,Richie Cunningham 37 yard field goal,0,3
1,1.0,,Jaguars,Jimmy Smith 7 yard pass from Mark Brunell (Mike Hollis kick),7,3
2,2.0,,Cowboys,Emmitt Smith 1 yard rush (Richie Cunningham kick),7,10
3,2.0,,Cowboys,Richie Cunningham 21 yard field goal,7,13
4,3.0,,Cowboys,Stepfret Williams 2 yard pass from Troy Aikman (pass failed),7,19
5,3.0,,Jaguars,Keenan McCardell 5 yard pass from Mark Brunell (Mike Hollis kick),14,19
6,4.0,,Jaguars,Derek Brown 2 yard pass from Mark Brunell (Willie Jackson pass from Mark Brunell),22,19
7,4.0,,Cowboys,Herschel Walker 64 yard pass from Troy Aikman (Richie Cunningham kick),22,26
