,Quarter,Time,Tm,Detail,TEN,BAL
0,1.0,12:25,Ravens,Terry Allen 9 yard rush (Matt Stover kick),0,7
1,2.0,10:05,Ravens,Qadry Ismail 77 yard pass from Elvis Grbac (Matt Stover kick),0,14
2,2.0,5:01,Ravens,Matt Stover 26 yard field goal,0,17
3,3.0,3:01,Ravens,Matt Stover 25 yard field goal,0,20
4,3.0,0:49,Titans,Donald Mitchell 26 yard blocked punt return (Joe Nedney kick),7,20
5,4.0,6:49,Ravens,Jason Brookins 1 yard rush (pass failed),7,26
