,Quarter,Tm,Detail,RAI,NOR
0,1.0,Saints,Morten Andersen 51 yard field goal,0,3
1,2.0,Raiders,Mervyn Fernandez 85 yard pass from Jay Schroeder,6,3
2,3.0,Saints,Craig Heyward 73 yard rush (Morten Andersen kick),6,10
3,3.0,Saints,Dalton Hilliard 7 yard rush (Morten Andersen kick),6,17
4,4.0,Saints,Morten Andersen 25 yard field goal,6,20
