,Quarter,Tm,Detail,BUF,PIT
0,1.0,Steelers,Gene Mingo 28 yard field goal,0,3
1,1.0,Bills,Grant Guthrie 52 yard field goal,3,3
2,2.0,Steelers,Dave Smith 6 yard pass from Terry Hanratty (Gene Mingo kick),3,10
3,3.0,Bills,O.J. Simpson 4 yard rush (Grant Guthrie kick),10,10
4,3.0,Steelers,Gene Mingo 49 yard field goal,10,13
5,4.0,Steelers,Preston Pearson 2 yard rush (Gene Mingo kick),10,20
6,4.0,Steelers,Gene Mingo 43 yard field goal,10,23
