,Quarter,Tm,Detail,CIN,NWE
0,2,Patriots,Ben Coates 8 yard pass from Drew Bledsoe (Scott Sisson kick),0,7
1,4,Bengals,"Safety, ball intentionally snapped out of end zone",2,7
