,Quarter,Tm,Detail,BUF,IND
0,1.0,Bills,Andre Reed 34 yard pass from Jim Kelly (Scott Norwood kick),7,0
1,1.0,Bills,Andre Reed 7 yard pass from Jim Kelly (Scott Norwood kick),14,0
2,2.0,Bills,Thurman Thomas 5 yard rush (Scott Norwood kick),21,0
3,3.0,Colts,Jeff George 1 yard rush (Dean Biasucci kick),21,7
4,3.0,Bills,Scott Norwood 25 yard field goal,24,7
5,4.0,Bills,Thurman Thomas 23 yard rush (Scott Norwood kick),31,7
