,Quarter,Tm,Detail,WAS,ATL
0,1.0,Falcons,Mick Luckhurst 28 yard field goal,0,3
1,1.0,Redskins,Mark Moseley 39 yard field goal,3,3
2,2.0,Redskins,Keith Griffin 5 yard rush (Mark Moseley kick),10,3
3,2.0,Redskins,Joe Theismann 11 yard rush (Mark Moseley kick),17,3
4,2.0,Redskins,George Rogers 1 yard rush (Mark Moseley kick),24,3
5,2.0,Redskins,Art Monk 34 yard pass from Joe Theismann (Mark Moseley kick),31,3
6,3.0,Redskins,Mark Moseley 40 yard field goal,34,3
7,4.0,Redskins,Mark Moseley 48 yard field goal,37,3
8,4.0,Redskins,Keith Griffin 66 yard rush (Mark Moseley kick),44,3
9,4.0,Falcons,Arthur Cox 14 yard pass from Bob Holly (Mick Luckhurst kick),44,10
