,Quarter,Tm,Detail,STL,WAS
0,1,Redskins,Rick Walker 25 yard pass from Joe Theismann (Mark Moseley kick),0,7
1,2,Redskins,Clint Didier 2 yard pass from Joe Theismann (Mark Moseley kick),0,14
2,3,Redskins,Clarence Harmon 1 yard rush (Mark Moseley kick),0,21
3,4,Redskins,Joe Washington 8 yard pass from Joe Theismann (Mark Moseley kick),0,28
