,Quarter,Tm,Detail,NWE,NYJ
0,1.0,Patriots,Charlie Gogolak 20 yard field goal,3,0
1,1.0,Jets,Bobby Howfield 21 yard field goal,3,3
2,2.0,Jets,Emerson Boozer 5 yard rush (Bobby Howfield kick),3,10
3,2.0,Jets,Emerson Boozer 12 yard rush (Bobby Howfield kick),3,17
4,3.0,Jets,Emerson Boozer 19 yard rush (Bobby Howfield kick),3,24
5,3.0,Jets,Bobby Howfield 31 yard field goal,3,27
6,4.0,Jets,Rich Caster 14 yard pass from Bob Davis (Bobby Howfield kick),3,34
7,4.0,Patriots,Brian Dowling 1 yard rush (Charlie Gogolak kick),10,34
