,Quarter,Tm,Detail,OAK,KAN
0,2.0,Chiefs,Wendell Hayes 29 yard pass from Len Dawson (Jan Stenerud kick),0,7
1,2.0,Chiefs,Robert West 42 yard pass from Len Dawson (Jan Stenerud kick),0,14
2,2.0,Chiefs,Jan Stenerud 31 yard field goal,0,17
3,3.0,Chiefs,Jan Stenerud 40 yard field goal,0,20
4,3.0,Raiders,Marv Hubbard 4 yard rush (George Blanda kick),7,20
5,4.0,Chiefs,Ed Podolak 27 yard pass from Len Dawson (Jan Stenerud kick),7,27
6,4.0,Raiders,Raymond Chester 13 yard pass from Ken Stabler (George Blanda kick),14,27
