,Quarter,Tm,Detail,DEN,RAI
0,1.0,Broncos,David Treadwell 22 yard field goal,3,0
1,2.0,Broncos,David Treadwell 47 yard field goal,6,0
2,2.0,Raiders,Jeff Jaeger 29 yard field goal,6,3
3,3.0,Raiders,Willie Gault 16 yard pass from Jay Schroeder (Jeff Jaeger kick),6,10
4,4.0,Raiders,Jeff Jaeger 23 yard field goal,6,13
5,4.0,Raiders,Jeff Jaeger 34 yard field goal,6,16
6,4.0,Broncos,Steve Sewell 3 yard pass from John Elway (David Treadwell kick),13,16
