,Quarter,Tm,Detail,SFO,DET
0,1,49ers,Clifton McNeil 65 yard pass from John Brodie (Dennis Patera kick),7,0
1,3,Lions,Lem Barney 94 yard field goal return (Jerry DePoyster kick),7,7
2,4,49ers,Dick Witcher 12 yard offensive fumble return (Dennis Patera kick),14,7
