,Quarter,Tm,Detail,ATL,SFO
0,1.0,49ers,Bruce Gossett 41 yard field goal,0,3
1,2.0,49ers,Bruce Gossett 19 yard field goal,0,6
2,4.0,49ers,Ken Willard 1 yard rush (Bruce Gossett kick),0,13
3,4.0,49ers,Ken Willard 1 yard rush (Bruce Gossett kick),0,20
