,Quarter,Tm,Detail,MIN,GNB
0,1,Vikings,Fred Cox 10 yard field goal,3,0
1,2,Packers,Doug Hart 85 yard interception return (Mike Mercer kick),3,7
2,3,Vikings,Fred Cox 12 yard field goal,6,7
3,4,Vikings,Fred Cox 20 yard field goal,9,7
