,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Randall Cunningham 1 yard rush (Paul McFadden kick),0,7
1,1.0,Eagles,Anthony Toney 1 yard rush (Paul McFadden kick),0,14
2,4.0,Redskins,Clint Didier 26 yard pass from Jay Schroeder (Jess Atkinson kick),7,14
3,4.0,Redskins,Don Warren 2 yard pass from Jay Schroeder (Jess Atkinson kick),14,14
4,4.0,Redskins,George Rogers 5 yard rush (Jess Atkinson kick),21,14
