,Quarter,Tm,Detail,CHI,IND
0,1.0,Bears,Dennis Gentry 35 yard pass from Jim McMahon (Kevin Butler kick),7,0
1,2.0,Colts,Dean Biasucci 38 yard field goal,7,3
2,2.0,Colts,Dean Biasucci 53 yard field goal,7,6
3,2.0,Bears,Kevin Butler 40 yard field goal,10,6
4,4.0,Colts,Eric Dickerson 12 yard rush (Dean Biasucci kick),10,13
5,4.0,Bears,Matt Suhey 2 yard rush (Kevin Butler kick),17,13
