,Quarter,Tm,Detail,CRD,PHI
0,2.0,Cardinals,Pat Summerall 37 yard field goal,3,0
1,2.0,Eagles,Bobby Walston 14 yard field goal,3,3
2,3.0,Eagles,Bobby Walston 19 yard field goal,3,6
3,4.0,Cardinals,Gern Nagler 23 yard pass from Lamar McHan (Pat Summerall kick),10,6
4,4.0,Cardinals,Pat Summerall 37 yard field goal,13,6
5,4.0,Cardinals,Johnny Olszewski 1 yard rush (Pat Summerall kick),20,6
