,Quarter,Tm,Detail,HAM,CRD
0,1.0,Pros,Jim Kendrick unknown yard field goal,3,0
1,1.0,Cardinals,Paddy Driscoll 30 yard field goal,3,3
2,2.0,Cardinals,Paddy Driscoll 44 yard field goal,3,6
3,2.0,Pros,Ray Neal fumble recovery in end zone (Jim Kendrick kick),10,6
