,Quarter,Tm,Detail,NYJ,BAL
0,1.0,Jets,Steve Davis 3 yard rush,6,0
1,1.0,Colts,Toni Linhart 34 yard field goal,6,3
2,1.0,Jets,Pat Leahy 26 yard field goal,9,3
3,2.0,Colts,Don McCauley 5 yard pass from Bert Jones (Toni Linhart kick),9,10
4,2.0,Colts,Lydell Mitchell 14 yard pass from Bert Jones (Toni Linhart kick),9,17
5,2.0,Colts,Toni Linhart 34 yard field goal,9,20
6,2.0,Colts,Roger Carr 31 yard pass from Bert Jones (Toni Linhart kick),9,27
7,3.0,Colts,Toni Linhart 41 yard field goal,9,30
8,4.0,Colts,Toni Linhart 31 yard field goal,9,33
9,4.0,Jets,David Knight 44 yard pass from Richard Todd (Pat Leahy kick),16,33
