,Quarter,Tm,Detail,GNB,WAS
0,1.0,Redskins,Johnny Olszewski 45 yard rush (Sam Baker kick),0,7
1,1.0,Redskins,Sam Baker 44 yard field goal,0,10
2,2.0,Redskins,Joe Walton 20 yard pass from Eddie LeBaron (Sam Baker kick),0,17
3,2.0,Redskins,Sam Baker 38 yard field goal,0,20
4,3.0,Redskins,Bill Anderson 33 yard pass from Eddie LeBaron (Sam Baker kick),0,27
5,3.0,Redskins,Ed Sutton 5 yard rush (Sam Baker kick),0,34
6,4.0,Packers,Max McGee 80 yard pass from Babe Parilli (Paul Hornung kick),7,34
7,4.0,Packers,Paul Hornung 3 yard rush (Paul Hornung kick),14,34
8,4.0,Redskins,Sam Baker 22 yard field goal,14,37
9,4.0,Packers,Jim Taylor 31 yard pass from Babe Parilli (Paul Hornung kick),21,37
