,Quarter,Tm,Detail,WAS,CIN
0,1.0,Bengals,Lemar Parrish 90 yard punt return (Horst Muhlmann kick),0,7
1,2.0,Bengals,Isaac Curtis 24 yard pass from Ken Anderson (Horst Muhlmann kick),0,14
2,2.0,Redskins,Mark Moseley 31 yard field goal,3,14
3,3.0,Bengals,Lemar Parrish 47 yard defensive fumble return (Horst Muhlmann kick),3,21
4,4.0,Bengals,Boobie Clark 3 yard rush (Horst Muhlmann kick),3,28
5,4.0,Redskins,Moses Denson 4 yard pass from Sonny Jurgensen (Mark Moseley kick),10,28
6,4.0,Redskins,Jerry Smith 22 yard pass from Sonny Jurgensen (Mark Moseley kick),17,28
