,Quarter,Time,Tm,Detail,OAK,MIA
0,1.0,5:19,Raiders,Sebastian Janikowski 42 yard field goal,3,0
1,2.0,9:59,Raiders,Sebastian Janikowski 25 yard field goal,6,0
2,2.0,0:16,Dolphins,Jay Fiedler 2 yard rush (Olindo Mare kick),6,7
3,3.0,11:10,Raiders,Sebastian Janikowski 45 yard field goal,9,7
4,3.0,0:02,Dolphins,Olindo Mare 27 yard field goal,9,10
5,4.0,12:41,Raiders,Anthony Dorsett 26 yard interception return (run failed),15,10
6,4.0,0:05,Dolphins,Jay Fiedler 2 yard rush (James McKnight run),15,18
