,Quarter,Tm,Detail,IND,PIT
0,1.0,Steelers,Barry Foster 20 yard rush (Gary Anderson kick),0,7
1,2.0,Steelers,Gary Anderson 31 yard field goal,0,10
2,2.0,Steelers,Gary Anderson 22 yard field goal,0,13
3,3.0,Colts,Rodney Culver 1 yard rush (Dean Biasucci kick),7,13
4,3.0,Steelers,Barry Foster 13 yard rush (Gary Anderson kick),7,20
5,3.0,Steelers,Leroy Thompson 2 yard rush (Gary Anderson kick),7,27
6,4.0,Colts,Rodney Culver 4 yard pass from Jack Trudeau (Dean Biasucci kick),14,27
7,4.0,Steelers,Gary Anderson 36 yard field goal,14,30
