,Quarter,Time,Tm,Detail,JAX,IND
0,1,4:59,Colts,Adam Vinatieri 54 yard field goal,0,3
1,1,2:49,Jaguars,Jason Myers 20 yard field goal,3,3
2,2,11:37,Jaguars,Allen Hurns 8 yard pass from Blake Bortles (Jason Myers kick),10,3
3,2,6:04,Colts,Coby Fleener 2 yard pass from Matt Hasselbeck (Adam Vinatieri kick),10,10
4,2,0:04,Jaguars,Jason Myers 32 yard field goal,13,10
5,4,12:27,Colts,Adam Vinatieri 32 yard field goal,13,13
6,OT,4:36,Colts,Adam Vinatieri 27 yard field goal,13,16
